TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
MARE	8.0	16.3	21.5	18.3	7.7	19.5
MARK1	0.0	0.0	1.2	2.3	0.0	0.0
MARK2	722.3	784.5	1212.5	557.6	719.1	631.8
MARK3	82.2	76.8	110.6	63.5	63.3	71.4
MARK4	3.5	2.3	6.6	1.7	3.7	2.1
MARS	23.1	31.8	33.1	62.6	41.8	43.9
MARS2	71.1	40.7	52.4	71.4	50.4	61.8
MARVELD1	9.6	13.6	17.0	10.2	34.3	17.8
MARVELD2	0.0	0.0	4.1	0.0	0.0	1.3
MARVELD3	0.0	0.0	0.0	3.3	0.0	0.3
MAS1	1.1	0.0	5.3	6.7	4.2	1.5
MASP1	0.0	1.4	0.4	0.0	0.7	1.7
MASP2	0.0	0.6	5.7	2.9	0.8	4.9
MASS1	3.5	0.0	0.0	1.8	0.4	0.0
MAST1	2.2	1.3	0.0	2.1	0.0	0.8
MAST2	59.4	61.8	54.1	87.1	65.3	55.9
MAST3	681.4	684.9	1288.6	517.4	679.1	784.2
MAST4	22.2	25.6	35.3	12.3	3.6	14.1
MASTL	0.0	0.0	0.0	0.0	0.0	0.0
MAT1A	0.0	0.0	0.0	2.2	0.5	0.0
MAT2A	509.4	344.3	466.1	206.9	341.2	269.1
MAT2B	88.3	82.1	41.5	90.5	82.6	96.5
MATK	27.7	16.3	36.9	16.9	26.8	34.5
MATN1	8.8	4.6	0.4	0.0	0.5	2.7
MATN2	0.0	2.1	1.7	6.1	4.1	1.1
MATN3	0.0	0.0	0.4	1.3	1.3	0.8
MATN4	2.0	4.9	4.9	0.8	3.8	2.6
MATR3	2725.1	2562.7	3172.8	1452.9	1650.1	2145.2
MAX	20.1	23.3	8.3	28.0	22.5	30.9
MAZ	1.5	2.6	1.6	2.7	1.2	4.8
MB	0.0	1.3	3.1	2.9	0.9	2.0
MBC2	477.4	504.5	501.4	247.8	404.5	385.5
MBD1	37.6	32.4	41.9	29.2	30.3	23.5
MBD2	0.0	0.0	0.0	0.0	0.0	0.0
MBD3	77.0	94.1	66.5	62.5	91.2	88.8
MBD3L2	2.2	3.0	3.9	0.0	3.5	0.6
MBD4	37.9	57.9	75.0	34.2	33.7	47.9
MBD5	11.6	14.4	6.8	1.0	12.1	7.9
