	Mp0000313 Abnormal Cell Death 	Mp0000350 Abnormal Cell Proliferation 	Mp0000689 Abnormal Spleen Morphology 	Mp0000703 Abnormal Thymus Morphology 	Mp0000716 Abnormal Immune System 	Mp0000858 Altered Metastatic Potential 	Mp0001533 Abnormal Skeleton Physiology 	Mp0001800 Abnormal Humoral Immune 	Mp0001819 Abnormal Immune Cell 	Mp0001835 Abnormal Antigen Presentation 	Mp0001845 Abnormal Inflammatory Respons 	Mp0001853 Heart Inflammation 	Mp0002019 Abnormal Tumor Incidence 	Mp0002080 Prenatal Lethality 	Mp0002083 Premature Death 	Mp0002086 Abnormal Extraembryonic Tissu 	Mp0002148 Abnormal Hypersensitivity Rea 	Mp0002398 Abnormal Bone Marrow 	Mp0002405 Respiratory System Inflammati 	Mp0002419 Abnormal Innate Immunity 	Mp0002420 Abnormal Adaptive Immunity 	Mp0002429 Abnormal Blood Cell 	Mp0002452 Abnormal Antigen Presenting 	Mp0002722 Abnormal Immune System 	Mp0002723 Abnormal Immune Serum 	Mp0002998 Abnormal Bone Remodeling 	Mp0003077 Abnormal Cell Cycle 	Mp0003111 Abnormal Nucleus Morphology 	Mp0003436 Decreased Susceptibility To 	Mp0003656 Abnormal Erythrocyte Physiolo 	Mp0003795 Abnormal Bone Structure 	Mp0005000 Abnormal Immune Tolerance 	Mp0005025 Abnormal Response To 	Mp0005390 Skeleton Phenotype 	Mp0005636 Abnormal Mineral Homeostasis 	Mp0008469 Abnormal Protein Level 	Mp0009763 Increased Sensitivity To 	Mp0009785 Altered Susceptibility To 	Mp0009931 Abnormal Skin Appearance 
Mp0001845 Abnormal Inflammatory Respons 	1.0	0.994094488189	0.986180904523	0.967711301045	0.993150684932	0.987684729064	0.989189189189	0.798283261803	0.970548862115	0.992424242424	0.0	0.988235294118	1.0	0.959830866808	0.957575757576	0.927364864865	0.956164383562	0.985593220339	0.964968152866	0.962209302326	0.960077896787	0.903225806452	0.992	0.992248062016	0.99358974359	0.975794251135	0.974630021142	1.0	0.974854932302	0.991712707182	0.964590964591	0.990206746464	0.994565217391	0.975710900474	0.985519591141	1.0	0.938235294118	0.995081967213	0.990306946688
Mp0001853 Heart Inflammation 	0.971428571429	0.897286821705	0.866317169069	0.91571969697	0.982658959538	0.898623279099	0.88868940754	0.969512195122	0.894385026738	0.978609625668	0.988235294118	0.0	0.933333333333	0.913043478261	0.968609865471	0.959459459459	0.937046004843	0.90964378801	0.984218077475	0.982330204307	0.929657794677	0.984749455338	0.90234375	0.943521594684	0.961352657005	0.91217257319	0.961759082218	0.916349809886	0.961130742049	0.94776119403	0.89512195122	0.893378226712	0.94347826087	0.930580490724	0.909170305677	0.962441314554	0.950201884253	0.915993537964	0.900161030596
Mp0002019 Abnormal Tumor Incidence 	0.987654320988	0.972286374134	0.976519337017	0.989108910891	1.0	0.97975708502	0.985655737705	0.990566037736	0.982633863965	0.984848484848	1.0	0.933333333333	0.0	0.980861244019	0.970873786408	0.987544483986	0.970588235294	0.985650224215	0.998284734134	0.995911214953	0.985829959514	0.99706744868	0.986111111111	0.984293193717	0.988888888889	0.990595611285	0.99520383693	0.967948717949	0.989106753813	0.986440677966	0.984415584416	0.982290436836	0.974137931034	0.992121212121	0.985572587917	0.978947368421	0.989214175655	0.97947761194	0.983636363636
Mp0002080 Prenatal Lethality 	0.96015936255	0.922147651007	0.910802775025	0.748638838475	0.973730297723	0.88040201005	0.886422976501	0.938775510204	0.761960326721	0.995271867612	0.959830866808	0.913043478261	0.980861244019	0.0	0.964285714286	0.889820359281	0.92663476874	0.855495772483	0.937993235626	0.927723283428	0.85328836425	0.911353032659	0.932975871314	0.96435272045	0.981859410431	0.785239852399	0.929752066116	0.970238095238	0.928292046936	0.935170178282	0.621523579202	0.886861313869	0.969762419006	0.826364692218	0.854826254826	0.963553530752	0.896626768226	0.92899408284	0.923708920188
Mp0002083 Premature Death 	0.979797979798	0.954545454545	0.964095744681	0.969844357977	0.992424242424	0.970168612192	0.976967370441	0.967213114754	0.969401947149	1.0	0.957575757576	0.968609865471	0.970873786408	0.964285714286	0.0	0.971186440678	0.958702064897	0.969135802469	0.983660130719	0.988485895222	0.976377952756	0.967391304348	0.965217391304	0.968888888889	0.968	0.972889233153	0.977628635347	0.974226804124	0.983805668016	0.975683890578	0.965952080706	0.969072164948	0.967105263158	0.978378378378	0.968971631206	0.992537313433	0.920684292379	0.968253968254	0.967128027682
Mp0002086 Abnormal Extraembryonic Tissu 	0.975346687211	0.950055493896	0.922810060711	0.894698620189	0.977559607293	0.92747440273	0.944915254237	0.872239747634	0.898444647758	0.996466431095	0.927364864865	0.959459459459	0.987544483986	0.889820359281	0.971186440678	0.0	0.91344873502	0.91344873502	0.859095688749	0.852119958635	0.885014836795	0.797432239658	0.95782463929	0.980938416422	0.98976109215	0.898399014778	0.922716627635	0.983102918587	0.95788336933	0.965071151358	0.888214904679	0.923380726698	0.980263157895	0.888546481767	0.91237458194	0.986440677966	0.883204633205	0.927328556807	0.946322067594
Mp0002148 Abnormal Hypersensitivity Rea 	0.959493670886	0.8928	0.892376681614	0.92085106383	0.969631236443	0.913326110509	0.92774566474	0.961711711712	0.925339366516	0.99358974359	0.956164383562	0.937046004843	0.970588235294	0.92663476874	0.958702064897	0.91344873502	0.0	0.912391475927	0.968982630273	0.96906135291	0.92420327304	0.942549371634	0.9296875	0.942446043165	0.96	0.919774806474	0.956112852665	0.95652173913	0.948224852071	0.952015355086	0.917981072555	0.908464566929	0.936046511628	0.931169557918	0.912836767036	0.97619047619	0.913357400722	0.894150417827	0.883656509695
Mp0002398 Abnormal Bone Marrow 	0.934895833333	0.658362989324	0.765229295003	0.605087014726	0.977830562154	0.355334538879	0.644038294169	0.967663702506	0.765897973445	0.994661921708	0.985593220339	0.90964378801	0.985650224215	0.855495772483	0.969135802469	0.91344873502	0.912391475927	0.0	0.952290076336	0.930411380238	0.862885462555	0.95070948469	0.819968553459	0.93654822335	0.970561998216	0.528785982478	0.940671908506	0.91296625222	0.911617961511	0.930086410055	0.755060728745	0.485444531865	0.944642857143	0.60989291178	0.0323741007194	0.945454545455	0.895244215938	0.818782098313	0.770280515542
Mp0002405 Respiratory System Inflammati 	0.977443609023	0.972192513369	0.960297766749	0.920646067416	0.976616231087	0.965853658537	0.973604060914	0.951149425287	0.933508311461	0.993091537133	0.964968152866	0.984218077475	0.998284734134	0.937993235626	0.983660130719	0.859095688749	0.968982630273	0.952290076336	0.0	0.722857142857	0.912607449857	0.891472868217	0.979679144385	0.981348637016	0.995033112583	0.935064935065	0.902582159624	0.99255952381	0.956336528222	0.960459183673	0.913807531381	0.956060606061	0.996840442338	0.907769423559	0.952776005105	0.995081967213	0.928702010969	0.9557956778	0.972275334608
Mp0002419 Abnormal Innate Immunity 	0.980909601348	0.971035837015	0.947183098592	0.893123446562	0.978249048396	0.948908296943	0.971236816874	0.931232091691	0.922161172161	0.993555946104	0.962209302326	0.982330204307	0.995911214953	0.927723283428	0.988485895222	0.852119958635	0.96906135291	0.930411380238	0.722857142857	0.0	0.862837548221	0.895844875346	0.981472452462	0.98347107438	0.995965417867	0.90212924916	0.908227848101	0.993892282066	0.951412989588	0.958889482114	0.903065825068	0.950730688935	0.996029495179	0.864290610007	0.931074316519	0.997131382674	0.912305516266	0.954329210276	0.974477958237
